field_id,date,ndvi,quality_flag
field_001,2023-04-01,0.3,good
field_001,2023-04-09,0.34686916999908673,good
field_001,2023-04-17,0.3930926260017441,good
field_001,2023-04-25,0.4380335499780211,good
field_001,2023-05-03,0.4810727932716792,cloudy
field_001,2023-05-11,0.521617406577429,good
field_001,2023-05-19,0.5591088089711397,good
field_001,2023-05-27,0.5930304834487367,good
field_001,2023-06-04,0.6229150929527698,good
field_001,2023-06-12,0.6483509188495411,good
field_001,2023-06-20,0.668987533154245,good
field_001,2023-06-28,0.5097049187076232,good
field_001,2023-07-06,0.5517091394039126,good
field_001,2023-07-14,0.5172277135301965,good
field_001,2023-07-22,0.4727714290612699,good
field_001,2023-07-30,0.5544454327472274,good
field_001,2023-08-07,0.5428487272531863,good
field_001,2023-08-15,0.6642950239348444,good
field_001,2023-08-23,0.6424292958065432,good
field_001,2023-08-31,0.6158459379635691,good
field_001,2023-09-08,0.5849111878757052,good
field_001,2023-09-16,0.5500512319061441,good
field_001,2023-09-24,0.5117463337652295,good
field_001,2023-10-02,0.4705242179435345,cloudy
field_001,2023-10-10,0.4269527992803668,good
field_001,2023-10-18,0.38163235883202956,good
field_001,2023-10-26,0.3351872738324784,good
field_002,2023-04-01,0.3,good
field_002,2023-04-09,0.34686916999908673,good
field_002,2023-04-17,0.3930926260017441,good
field_002,2023-04-25,0.4380335499780211,good
field_002,2023-05-03,0.4810727932716792,good
field_002,2023-05-11,0.521617406577429,cloudy
field_002,2023-05-19,0.5591088089711397,good
field_002,2023-05-27,0.5930304834487367,good
field_002,2023-06-04,0.6229150929527698,good
field_002,2023-06-12,0.6483509188495411,good
field_002,2023-06-20,0.668987533154245,good
field_002,2023-06-28,0.6845406263581849,good
field_002,2023-07-06,0.6947959243453534,good
field_002,2023-07-14,0.6376197559384085,good
field_002,2023-07-22,0.6989229218816712,good
field_002,2023-07-30,0.6927377640110606,good
field_002,2023-08-07,0.6811418794057272,good
field_002,2023-08-15,0.6642950239348444,good
field_002,2023-08-23,0.6424292958065432,good
field_002,2023-08-31,0.6158459379635691,good
field_002,2023-09-08,0.5849111878757052,good
field_002,2023-09-16,0.5500512319061441,cloudy
field_002,2023-09-24,0.5117463337652295,good
field_002,2023-10-02,0.4705242179435345,good
field_002,2023-10-10,0.4269527992803668,good
field_002,2023-10-18,0.38163235883202956,good
field_002,2023-10-26,0.3351872738324784,good
field_003,2023-04-01,0.31894879642093277,good
field_003,2023-04-09,0.353741535790456,good
field_003,2023-04-17,0.35783182289448945,cloudy
field_003,2023-04-25,0.444515229365917,good
field_003,2023-05-03,0.47337114766335286,cloudy
field_003,2023-05-11,0.5080789665713099,good
field_003,2023-05-19,0.571342334747957,good
field_003,2023-05-27,0.6136504738986557,good
field_003,2023-06-04,0.6415406953350938,good
field_003,2023-06-12,0.6315665683850883,good
field_003,2023-06-20,0.6628032856372207,good
field_003,2023-06-28,0.6911658949862562,good
field_003,2023-07-06,0.7143068268878006,good
field_003,2023-07-14,0.6900286556783253,good
field_003,2023-07-22,0.6952097423483948,good
field_003,2023-07-30,0.67061106453094,good
field_003,2023-08-07,0.6572177469241138,good
field_003,2023-08-15,0.6805455403827284,good
field_003,2023-08-23,0.6695540963779596,good
field_003,2023-08-31,0.6144057355319624,good
field_003,2023-09-08,0.6049818458335456,good
field_003,2023-09-16,0.5572839524070968,good
field_003,2023-09-24,0.498843938673127,good
field_003,2023-10-02,0.47775213005370276,good
field_003,2023-10-10,0.45771353060968617,good
field_003,2023-10-18,0.38091583804983054,good
field_003,2023-10-26,0.3664801469487585,good
